RVI,Plant_Ht
0.2757,83
0.3092,78
0.315,80
0.3218,76
0.3218,76
0.3262,70
0.3346,78
0.3367,74
0.3388,72
0.3452,73
0.3547,70
0.3547,68
0.3554,70
0.364,69
0.3693,65
0.3793,64
0.3805,62
0.3816,66
0.3977,61
0.4058,55
0.4067,52
0.4107,50
0.4136,47
0.414,46
0.4171,47
0.4214,48
0.4222,43
0.4247,45
0.4302,49
0.4331,47
0.439,48
0.4607,45
0.4629,44
0.4639,47
0.4726,42
0.4762,41
0.4934,38
0.494,43
0.505,39
0.5055,36
0.5055,32
0.5192,31
0.5293,34
0.5335,33
0.5363,32
0.692,26
0.7034,27
0.7434,24